,ID,Age,Sex,Math Score,DS Score,Physics Score
0,1,18,1,88.0,82.0,84.0
1,2,19,1,85.0,79.0,81.0
2,3,19,1,45.0,39.0,41.0
3,4,18,1,82.0,76.0,78.0
4,5,18,2,82.0,76.0,78.0
5,6,20,1,95.0,89.0,91.0
6,7,18,1,95.0,89.0,91.0
7,8,19,1,65.0,59.0,61.0
8,9,18,1,88.0,82.0,84.0
9,10,19,2,88.0,82.0,84.0
10,11,20,1,53.0,47.0,49.0
11,12,20,1,53.0,47.0,49.0
12,13,19,1,66.0,60.0,62.0
13,14,18,1,88.0,82.0,84.0
14,15,21,2,88.0,82.0,84.0
15,16,20,1,82.0,76.0,78.0
16,17,18,1,31.0,25.0,0.0
17,18,18,1,95.0,89.0,91.0
18,19,18,1,91.0,85.0,87.0
19,20,18,2,66.0,60.0,62.0
20,21,18,1,82.0,76.0,78.0
21,22,18,1,66.0,60.0,62.0
22,23,18,1,75.0,69.0,71.0
23,24,19,1,65.0,59.0,61.0
24,25,20,2,91.0,85.0,87.0
25,26,18,1,91.0,85.0,87.0
26,27,20,1,53.0,47.0,49.0
27,28,20,1,91.0,85.0,87.0
28,29,21,1,88.0,82.0,84.0
29,30,19,2,85.0,79.0,81.0
30,31,20,1,75.0,69.0,71.0
31,32,21,1,66.0,60.0,62.0
32,33,19,1,45.0,39.0,41.0
33,34,18,1,66.0,0.0,94.0
34,35,20,2,53.0,47.0,49.0
35,36,19,1,65.0,59.0,61.0
36,37,18,1,53.0,47.0,49.0
37,38,20,1,75.0,69.0,71.0
38,39,18,1,45.0,39.0,41.0
39,40,19,2,66.0,60.0,62.0
40,41,20,1,75.0,69.0,71.0
41,42,20,1,95.0,89.0,91.0
42,43,21,1,65.0,59.0,61.0
43,44,18,1,85.0,79.0,81.0
44,45,20,2,82.0,76.0,78.0
45,46,21,1,65.0,59.0,61.0
46,47,21,1,85.0,79.0,81.0
47,48,18,1,82.0,76.0,78.0
48,49,18,1,65.0,59.0,61.0
49,50,19,2,66.0,60.0,62.0
50,51,18,1,82.0,76.0,78.0
51,52,19,1,88.0,82.0,84.0
52,53,19,1,0.0,39.0,41.0
53,54,20,1,95.0,89.0,91.0
54,55,21,2,88.0,82.0,84.0
55,56,18,1,91.0,85.0,87.0
56,57,20,1,53.0,47.0,49.0
57,58,20,1,75.0,69.0,71.0
58,59,20,1,75.0,69.0,71.0
59,60,18,2,95.0,89.0,91.0
60,61,19,1,88.0,82.0,84.0
61,62,18,1,53.0,47.0,49.0
62,63,20,1,82.0,76.0,78.0
63,64,18,1,82.0,76.0,78.0
64,65,21,2,85.0,79.0,81.0
65,66,21,1,45.0,39.0,0.0
66,67,20,1,75.0,69.0,71.0
67,68,21,1,66.0,60.0,62.0
68,69,19,1,45.0,39.0,41.0
69,70,20,2,75.0,69.0,71.0
70,71,20,1,53.0,47.0,49.0
71,72,21,1,65.0,59.0,61.0
72,73,20,1,53.0,47.0,49.0
73,74,19,1,85.0,79.0,81.0
74,75,18,2,82.0,76.0,78.0
75,76,20,1,95.0,89.0,91.0
76,77,19,1,66.0,60.0,62.0
77,78,20,1,53.0,47.0,49.0
78,79,18,1,65.0,59.0,61.0
79,80,19,2,85.0,79.0,81.0
80,81,19,1,88.0,82.0,84.0
81,82,18,1,95.0,89.0,91.0
82,83,20,1,53.0,47.0,49.0
83,84,19,1,45.0,39.0,41.0
84,85,21,2,45.0,39.0,41.0
85,86,18,1,85.0,79.0,81.0
86,87,19,1,45.0,0.0,90.0
87,88,21,1,85.0,79.0,81.0
88,89,18,1,45.0,39.0,41.0
89,90,21,2,45.0,39.0,41.0
90,91,19,1,85.0,79.0,0.0
91,92,19,1,88.0,82.0,84.0
92,93,19,1,85.0,79.0,81.0
93,94,18,1,91.0,85.0,87.0
94,95,19,2,65.0,59.0,61.0
95,96,18,1,75.0,69.0,71.0
96,97,19,1,88.0,82.0,84.0
97,98,18,1,95.0,89.0,91.0
98,99,21,1,65.0,59.0,61.0
99,100,19,2,65.0,59.0,61.0
100,101,18,1,45.0,39.0,41.0
101,102,20,1,53.0,47.0,49.0
102,103,18,1,95.0,89.0,91.0
103,104,21,1,66.0,60.0,62.0
104,105,18,2,82.0,76.0,78.0
105,106,19,1,65.0,59.0,61.0
106,107,21,1,45.0,39.0,0.0
107,108,21,1,85.0,79.0,81.0
108,109,19,1,45.0,39.0,0.0
109,110,21,2,85.0,79.0,81.0
110,111,21,1,65.0,59.0,61.0
111,112,18,1,85.0,79.0,81.0
112,113,19,1,88.0,82.0,84.0
113,114,19,1,45.0,39.0,41.0
114,115,20,2,95.0,89.0,91.0
115,116,21,1,88.0,82.0,84.0
116,117,18,1,75.0,69.0,71.0
117,118,20,1,53.0,47.0,49.0
118,119,20,1,82.0,76.0,78.0
119,120,21,2,85.0,79.0,81.0
120,121,18,1,91.0,85.0,87.0
121,122,18,1,88.0,82.0,0.0
122,123,21,1,85.0,79.0,81.0
123,124,19,1,45.0,39.0,41.0
124,125,18,2,53.0,47.0,49.0
125,126,20,1,95.0,89.0,91.0
126,127,21,1,45.0,39.0,41.0
127,128,20,1,75.0,69.0,71.0
128,129,21,1,66.0,60.0,62.0
129,130,18,2,75.0,69.0,71.0
130,131,18,1,66.0,60.0,62.0
131,132,20,1,75.0,69.0,71.0
132,133,18,1,53.0,47.0,49.0
133,134,18,1,85.0,79.0,81.0
134,135,18,2,85.0,79.0,81.0
135,136,21,1,65.0,59.0,61.0
136,137,21,1,65.0,59.0,61.0
137,138,20,1,91.0,85.0,87.0
138,139,21,1,85.0,79.0,81.0
139,140,21,2,45.0,0.0,88.0
140,141,18,1,82.0,76.0,78.0
141,142,20,1,95.0,89.0,91.0
142,143,18,1,85.0,79.0,81.0
143,144,18,1,66.0,60.0,62.0
144,145,21,2,88.0,82.0,84.0
145,146,20,1,82.0,76.0,78.0
146,147,18,1,53.0,47.0,49.0
147,148,19,1,88.0,82.0,84.0
148,149,18,1,45.0,39.0,41.0
149,150,21,2,65.0,59.0,61.0
150,151,18,1,95.0,89.0,91.0
151,152,18,1,31.0,25.0,27.0
152,153,18,1,66.0,60.0,62.0
153,154,19,1,45.0,39.0,41.0
154,155,18,2,53.0,47.0,49.0
155,156,19,1,45.0,39.0,41.0
156,157,18,1,53.0,47.0,49.0
157,158,18,1,91.0,85.0,87.0
158,159,19,1,85.0,79.0,81.0
159,160,18,2,53.0,47.0,49.0
160,161,18,1,88.0,82.0,84.0
161,162,18,1,88.0,0.0,81.0
162,163,18,1,82.0,76.0,78.0
163,164,19,1,85.0,79.0,81.0
164,165,18,2,45.0,39.0,41.0
165,166,20,1,82.0,76.0,78.0
166,167,18,1,91.0,85.0,87.0
167,168,19,1,65.0,59.0,61.0
168,169,19,1,65.0,59.0,61.0
169,170,18,2,75.0,69.0,71.0
170,171,18,1,88.0,82.0,84.0
171,172,18,1,65.0,59.0,61.0
172,173,20,1,53.0,47.0,49.0
173,174,19,1,88.0,82.0,84.0
174,175,19,2,45.0,39.0,41.0
175,176,18,1,95.0,89.0,91.0
176,177,18,1,75.0,69.0,71.0
177,178,20,1,53.0,47.0,49.0
178,179,18,1,53.0,47.0,49.0
179,180,18,2,95.0,89.0,91.0
180,181,20,1,95.0,89.0,91.0
181,182,19,1,85.0,79.0,81.0
182,183,19,1,88.0,82.0,84.0
183,184,19,1,88.0,82.0,84.0
184,185,20,2,95.0,89.0,91.0
185,186,20,1,75.0,69.0,71.0
186,187,20,1,75.0,69.0,71.0
187,188,20,1,95.0,89.0,91.0
188,189,20,1,91.0,85.0,87.0
189,190,18,2,82.0,76.0,78.0
190,191,19,1,85.0,79.0,81.0
191,192,18,1,91.0,85.0,87.0
192,193,19,1,85.0,79.0,81.0
193,194,21,1,85.0,79.0,81.0
194,195,20,2,91.0,85.0,87.0
195,196,18,1,91.0,85.0,87.0
196,197,21,1,85.0,79.0,81.0
197,198,20,1,95.0,89.0,91.0
198,199,21,1,88.0,82.0,84.0
199,200,18,2,53.0,47.0,49.0
200,201,18,1,66.0,60.0,62.0
201,202,20,1,91.0,85.0,87.0
202,203,19,1,45.0,39.0,41.0
203,204,19,1,85.0,79.0,81.0
204,205,18,2,82.0,76.0,78.0
205,206,19,1,66.0,60.0,62.0
206,207,20,1,75.0,69.0,71.0
207,208,18,1,75.0,69.0,71.0
208,209,18,1,95.0,89.0,91.0
209,210,19,2,66.0,60.0,62.0
210,211,21,1,66.0,60.0,62.0
211,212,19,1,88.0,82.0,84.0
212,213,19,1,88.0,82.0,84.0
213,214,18,1,75.0,69.0,71.0
